year,title,genres,boxOffice,rank,category,winner
2020,Jojo Rabbit,"Comedy,Drama,War",21981387,66,Best Picture,false
2020,Joker,"Crime,Drama,Thriller",334046521,8,Best Picture,false
2020,Little Women,"Drama,Romance",74031009,25,Best Picture,false
2020,1917,"Drama,War",39221279,45,Best Picture,false
2020,Once Upon a Time... in Hollywood,"Comedy,Drama",141103164,16,Best Picture,false
2020,Parasite,"Comedy,Drama,Thriller",25368736,62,Best Picture,false
2020,Ford v Ferrari,"Action,Biography,Drama",111424605,21,Best Picture,false
2020,Joker,"Crime,Drama,Thriller",334046521,8,Best Directing,false
2020,1917,"Drama,War",39221279,45,Best Directing,false
2020,Once Upon a Time... in Hollywood,"Comedy,Drama",141103164,16,Best Directing,false
2020,Parasite,"Comedy,Drama,Thriller",25368736,62,Best Directing,false
2020,1917,"Drama,War",39221279,45,Best Original Screenplay,false
2020,Once Upon a Time... in Hollywood,"Comedy,Drama",141103164,16,Best Original Screenplay,false
2020,Parasite,"Comedy,Drama,Thriller",25368736,62,Best Original Screenplay,false
2020,Knives Out,"Comedy,Crime,Drama",139621744,17,Best Original Screenplay,false
2020,Joker,"Crime,Drama,Thriller",334046521,8,Best Adapted Screenplay,false
2020,Jojo Rabbit,"Comedy,Drama,War",21981387,66,Best Adapted Screenplay,false
2020,Just Mercy,"Drama",10435988,86,Best Adapted Screenplay,false
2020,Little Women,"Drama,Romance",74031009,25,Best Adapted Screenplay,false
2020,Joker,"Crime,Drama,Thriller",334046521,8,Best Cinematography,false
2020,1917,"Drama,War",39221279,45,Best Cinematography,false
2020,Once Upon a Time... in Hollywood,"Comedy,Drama",141103164,16,Best Cinematography,false
2020,The Lighthouse,"Drama,Fantasy,Horror",10825163,85,Best Cinematography,false
2020,Star Wars: Episode IX - The Rise of Skywalker,"Action,Adventure,Fantasy",478169690,3,Best Visual Effects,false
2020,Avengers: Endgame,"Action,Adventure,Drama",858373000,1,Best Visual Effects,false
2020,1917,"Drama,War",39221279,45,Best Visual Effects,false
2020,The Lion King,"Animation,Adventure,Drama",543638043,2,Best Visual Effects,false
2019,Black Panther,"Action,Adventure,Sci-Fi",700059566,1,Best Picture,false
2019,BlacKkKlansman,"Biography,Crime,Drama",48271960,58,Best Picture,false
2019,Bohemian Rhapsody,"Biography,Drama,Musical",194917649,13,Best Picture,false
2019,The Favourite,"Biography,Comedy,Drama",20118036,101,Best Picture,false
2019,Green Book,"Biography,Comedy,Drama",36164601,74,Best Picture,true
2019,A Star Is Born,"Drama,Music,Romance",202322968,12,Best Picture,false
2019,Vice,"Biography,Comedy,Drama",32026399,83,Best Picture,false
2019,BlacKkKlansman,"Biography,Crime,Drama",48271960,58,Best Directing,false
2019,The Favourite,"Biography,Comedy,Drama",20118036,101,Best Directing,false
2019,Vice,"Biography,Comedy,Drama",32026399,83,Best Directing,false
2019,Cold War,"Drama,Music,Romance",272118,230,Best Directing,false
2019,Green Book,"Biography,Comedy,Drama",36164601,74,Best Original Screenplay,true
2019,The Favourite,"Biography,Comedy,Drama",20118036,101,Best Original Screenplay,false
2019,Vice,"Biography,Comedy,Drama",32026399,83,Best Original Screenplay,false
2019,First Reformed,"Drama,Mystery,Thriller",3448256,146,Best Original Screenplay,false
2019,BlacKkKlansman,"Biography,Crime,Drama",48271960,58,Best Adapted Screenplay,true
2019,A Star Is Born,"Drama,Music,Romance",202322968,12,Best Adapted Screenplay,false
2019,If Beale Street Could Talk,"Crime,Drama,Romance",5096671,144,Best Adapted Screenplay,false
2019,Can You Ever Forgive Me?,"Biography,Comedy,Crime",7645511,129,Best Adapted Screenplay,false
2019,Cold War,"Drama,Music,Romance",272118,230,Best Cinematography,false
2019,The Favourite,"Biography,Comedy,Drama",20118036,101,Best Cinematography,false
